timestamp,src_ip,dst_ip,protocol,packet_length,ttl,tcp_flag,window_size,source_location,experiment_id,experiment_timestamp
1783080201.840079,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080201.93523,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080202.190487,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080203.452634,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080203.546956,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080203.80182,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080203.908279,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080204.164096,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080205.434453,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080205.52751,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080205.588183,192.168.1.31,192.168.1.255,UDP,86,128,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080205.782623,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080205.878332,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080206.132471,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080206.251555,192.168.1.18,192.168.1.255,UDP,126,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080207.392526,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080207.540917,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080207.795766,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080207.887573,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
